[Learner] Device: cuda
[Learner] Resuming from checkpoints/train_ckpt_step156000.pt
[Learner] Resumed at step 156000
[Learner] Waiting for 1000 transitions in buffer...
[Learner] Buffer ready: ~1897920 transitions (23724 files)
[ReplayBuffer] Added 45495 transitions, buffer size=45495

  Step 157600 | V=+1.889 Q=+1.845 actor_loss=+2.7139 ratio=10.000 adv_raw=-0.362±0.490 gnorm=0.00 buf=45,495
  Step 157700 | V=+1.668 Q=+1.663 actor_loss=+2.5047 ratio=10.000 adv_raw=-0.301±0.404 gnorm=0.00 buf=45,495
  Step 157800 | V=+1.691 Q=+1.691 actor_loss=+2.7369 ratio=10.000 adv_raw=-0.340±0.471 gnorm=0.00 buf=45,495
  Step 157900 | V=+1.922 Q=+1.902 actor_loss=+2.8712 ratio=10.000 adv_raw=-0.351±0.430 gnorm=0.00 buf=45,495
  Step 158000 | V=+1.734 Q=+1.729 actor_loss=+2.7752 ratio=10.000 adv_raw=-0.360±0.460 gnorm=0.00 buf=45,495
[Learner] Saved checkpoint → checkpoints/train_ckpt_step158000.pt
  Step 158100 | V=+1.763 Q=+1.756 actor_loss=+2.5131 ratio=10.000 adv_raw=-0.310±0.396 gnorm=0.00 buf=45,495
  Step 158200 | V=+1.721 Q=+1.754 actor_loss=+2.5283 ratio=10.000 adv_raw=-0.305±0.432 gnorm=0.00 buf=45,495
  Step 158300 | V=+1.656 Q=+1.603 actor_loss=+2.6767 ratio=10.000 adv_raw=-0.398±0.520 gnorm=0.00 buf=45,495
  Step 158400 | V=+1.454 Q=+1.436 actor_loss=+2.6779 ratio=10.000 adv_raw=-0.354±0.471 gnorm=0.00 buf=45,495
  Step 158500 | V=+1.659 Q=+1.668 actor_loss=+2.4755 ratio=10.000 adv_raw=-0.357±0.507 gnorm=0.00 buf=45,495
  Step 158600 | V=+2.003 Q=+1.930 actor_loss=+2.8447 ratio=10.000 adv_raw=-0.372±0.462 gnorm=0.00 buf=45,495
  Step 158700 | V=+1.664 Q=+1.676 actor_loss=+2.8032 ratio=10.000 adv_raw=-0.372±0.486 gnorm=0.00 buf=45,495
  Step 158800 | V=+1.836 Q=+1.855 actor_loss=+2.8955 ratio=10.000 adv_raw=-0.420±0.607 gnorm=0.00 buf=45,495
  Step 158900 | V=+1.712 Q=+1.671 actor_loss=+2.7230 ratio=10.000 adv_raw=-0.332±0.476 gnorm=0.00 buf=45,495
  Step 159000 | V=+1.673 Q=+1.662 actor_loss=+2.6633 ratio=10.000 adv_raw=-0.334±0.530 gnorm=0.00 buf=45,495
[Learner] Saved checkpoint → checkpoints/train_ckpt_step159000.pt
  Step 159100 | V=+1.870 Q=+1.844 actor_loss=+2.7758 ratio=10.000 adv_raw=-0.325±0.470 gnorm=0.00 buf=45,495
  Step 159200 | V=+1.649 Q=+1.621 actor_loss=+2.5028 ratio=10.000 adv_raw=-0.347±0.571 gnorm=0.00 buf=45,495
  Step 159300 | V=+1.799 Q=+1.745 actor_loss=+2.6948 ratio=10.000 adv_raw=-0.357±0.583 gnorm=0.00 buf=45,495
